,Raw Score,Denominator,Score
1,3.0,6.0,0.5
2,3.0,7.0,0.42857142857142855
3,2.0,6.0,0.3333333333333333
4,2.0,5.0,0.4
5,1.0,4.0,0.25
6,2.0,5.0,0.4
7,2.0,6.0,0.3333333333333333
8,2.0,7.0,0.2857142857142857
9,3.0,8.0,0.375
10,2.0,8.0,0.25
11,2.0,6.0,0.3333333333333333
12,5.0,7.0,0.7142857142857143
13,2.0,6.0,0.3333333333333333
14,3.0,5.0,0.6
15,2.0,6.0,0.3333333333333333
16,3.0,6.0,0.5
17,2.0,6.0,0.3333333333333333
18,2.0,7.0,0.2857142857142857
19,2.0,5.0,0.4
20,3.0,6.0,0.5
21,3.0,9.0,0.3333333333333333
22,3.0,6.0,0.5
23,3.0,5.0,0.6
24,3.0,5.0,0.6
25,2.0,5.0,0.4
26,4.0,8.0,0.5
27,3.0,6.0,0.5
28,1.0,5.0,0.2
29,3.0,5.0,0.6
30,2.0,7.0,0.2857142857142857
31,1.0,7.0,0.14285714285714285
32,3.0,7.0,0.42857142857142855
33,3.0,7.0,0.42857142857142855
34,3.0,7.0,0.42857142857142855
35,2.0,7.0,0.2857142857142857
36,1.0,6.0,0.16666666666666666
37,3.0,7.0,0.42857142857142855
38,2.0,5.0,0.4
39,3.0,6.0,0.5
40,3.0,6.0,0.5
41,2.0,6.0,0.3333333333333333
42,3.0,6.0,0.5
43,3.0,5.0,0.6
44,1.0,6.0,0.16666666666666666
